0 0,00377321226787502 0
25 0,0110219897800977 0,00747912766663362
50 0,0172166278337315 0,0147907570528759
75 0,0252982470175438 0,0217736262997987
100 0,0321097789022238 0,0282786221211016
125 0,0358118418815934 0,0341740650380526
150 0,0412980370196412 0,0393501065428967
175 0,0441140088599198 0,0437220350445226
200 0,0478803711963009 0,0472323573588294
225 0,0494385556144505 0,0498515988578064
250 0,0526431235687719 0,0515778423932584
275 0,052219877801233 0,0524350981517773
300 0,052864521354796 0,05247065872547
325 0,0510534394656116 0,0517516420013356
350 0,0498769012309979 0,0503609564136158
375 0,0482028179718316 0,0483929375639977
400 0,0462197878021301 0,045948902543021
425 0,0427053729462815 0,0431328501398886
450 0,0376446235537763 0,0400475042204401
475 0,0352083479165349 0,0367908573265783
500 0,0322154278457361 0,0334533258136981
525 0,0287749622503927 0,0301155804123678
550 0,0250057499425158 0,0268470704811021
575 0,0231987180128335 0,0237052193457828
600 0,0187329626703857 0,020735234195449
625 0,0157497425025833 0,0179704483970964
650 0,0138255617443853 0,0154330973540125
675 0,0125463745362559 0,0131354209642233
700 0,0105602443975498 0,0110809855196394
725 0,0084637153628402 0,00926612424914717
750 0,00699043009569406 0,00768140709987767
775 0,00565279347206144 0,00631306511544319
800 0,00461770382295883 0,00514431130082339
825 0,00393096069039068 0,00415651672161121
850 0,0031038689613086 0,00333021658294305
875 0,00236702632973558 0,00264593528060747
900 0,00180243197567948 0,00208483133217225
925 0,00151013489865049 0,00162917238914675
950 0,00108268917310811 0,00126265716404449
975 0,000905790942090536 0,000970605240748957
1000 0,00055829441705592 0,00074003767749072
1025 0,000470145298547051 0,000559671449781759
1050 0,000375746242537584 0,000419849541996136
1075 0,000298847011529868 0,00031242630092531
1100 0,000182648173518271 0,000230624895442528
1125 7,33492665073336E-05 0,000168880709017668
1150 0,000104748952510477 0,000122681484397649
1175 0,000102698973010272 8,84122310344863E-05
1200 3,54496455035444E-05 6,32104193789634E-05
1225 4,59495405045942E-05 4,4834888873987E-05
1250 2,97997020029796E-05 3,15502094102031E-05
1275 2,79997200027996E-05 2,20269457915592E-05
1300 5,5549444505554E-05 1,52573446439179E-05
