0 0,00185083149168432 0 Среднеквадратичная скорость: 612,076 м/с
25 0,00547384526154367 0,00333099578982034 Наиболее вероятная скорость: 524,556 м/с
50 0,00867586324136144 0,006628732700159 Средняя скорость: 541,798 м/с
75 0,0121552784472152 0,00986050470191727
100 0,0150106998930072 0,0129946986152661
125 0,0165196348036607 0,0160013087892145
150 0,0206335936640755 0,0188524147474011
175 0,023021019789817 0,0215226111813394
200 0,0246905030949825 0,023989381070779
225 0,027543974560269 0,0262334043619311
250 0,0307931420685937 0,0282387964795398
275 0,0314425355746569 0,0299932729237048
300 0,0314422855771592 0,0314882382392196
325 0,0334708152918609 0,0327187996756597
350 0,0341191588084233 0,0336837078143531
375 0,0330560694393179 0,0343852282621723
400 0,0350000499995121 0,0348289501471984
425 0,035809791902094 0,0350235385519336
450 0,0353622463775489 0,0349804391503134
475 0,0348225517744951 0,0347135441509484
500 0,0340778592214208 0,0342388291780711
525 0,0328431715682984 0,0335739709424106
550 0,0311294887051268 0,0327379554765065
575 0,0325332746672689 0,0317506863526622
600 0,0313053369466455 0,0306326016953474
625 0,0290150098499163 0,0294043079789735
650 0,0282473175268396 0,0280862376073579
675 0,026267037329642 0,0266983361469601
700 0,0245150548494672 0,0252597838775744
725 0,0229280707193076 0,0237887550766013
750 0,0215501844981681 0,022302217209132
775 0,0209870401296109 0,0208157709951102
800 0,0187566624333873 0,0193435312011995
825 0,0167178328216818 0,0178980469874014
850 0,0158026919730894 0,016490259749367
875 0,0141754082459231 0,015129495652595
900 0,0130677693223094 0,0138234894636327
925 0,0118658813411849 0,0125784358490803
950 0,0105232947670462 0,0113990640329783
975 0,00912300876990571 0,0102887315693416
1000 0,00802206977929642 0,00924953298728616
1025 0,00740672593273538 0,00828241918615678
1050 0,00669908300916512 0,00738732367975963
1075 0,00584869151308085 0,00656329209321373
1100 0,00496525034749322 0,00580861168353894
1125 0,00451455485444846 0,00512093806658512
1150 0,00363116368836092 0,0044974167699221
1175 0,00351011489884892 0,00393479767698961
1200 0,00289557104428794 0,00342954086721559
1225 0,00254982450175367 0,00297791277724234
1250 0,00245302546974409 0,00257607199953687
1275 0,00207657923420673 0,0022201443886287
1300 0,00148318516814791 0,00190628745652576
1325 0,0013246867531321 0,00163074430425909
1350 0,00106178938210604 0,0013898875547815
1375 0,000854391456085409 0,00118025392414725
1400 0,000671643283567275 0,000998570195059754
1425 0,000611343886561249 0,00084177144269633
1450 0,000569044309557008 0,000707012411277736
1475 0,000480745192548133 0,000591672955800197
1500 0,000397996020039819 0,00049335845166048
1525 0,000329896701032974 0,000409896040633033
1550 0,000165448345516555 0,00033932752974099
1575 0,000197398026019744 0,000279899694664091
1600 0,000244447555524439 0,000230052665715909
1625 0,000136148638513622 0,000188406995891293
1650 0,000135598644013567 0,000153749930295019
1675 7,14492855071436E-05 0,000125021317127733
1700 8,19491805081937E-05 0,000101299524494537
1725 8,73491265087346E-05 8,17876562650997E-05
1750 5,75994240057589E-05 6,58002952232648E-05
1775 4,09995900040993E-05 5,27509435425801E-05
1800 9,89490105098964E-05 4,21402795859756E-05
